  SEAMLESS             01/05/25 06:00:01 al 19/06/25 14:39:34

   Artículo              Unidades          Docenas             En producción
07503 T.4 CC                184              15.3                   NO

07504 T.2 CC                247              20.6                   NO

07504 T.3 CC                254              21.2                   NO

07504 T.4 CC                488              40.7                   NO

07505 T.2 CC                337              28.1                   NO

07505 T.3 CC                558              46.5                   NO

07505 T.4 CC                427              35.6                   NO

09300 PA CC                 121              10.1                   NO

10122 T.1 NN                116               9.7                   NO

10122 T.1 NT                116               9.7                   NO

10122 T.2 NN                116               9.7                   NO

10122 T.2 NT                115               9.6                   NO

10122 T.3 NN                123              10.3                   NO

10122 T.3 NT                116               9.7                   NO

10122 T.4 NN                116               9.7                   NO

10122 T.4 NT                116               9.7                   NO

10123 T.1 NN                116               9.7                   NO


   Artículo              Unidades          Docenas             En producción

10123 T.1 NT                116               9.7                   NO

10123 T.2 NN                116               9.7                   NO

10123 T.2 NT                117               9.8                   NO

10123 T.3 NN                115               9.6                   NO

10123 T.3 NT                116               9.7                   NO

10123 T.4 NN                116               9.7                   NO

10123 T.4 NT                116               9.7                   NO

 10222 PA 2C                260              21.7                   NO

 10222 PA 4C                138              11.5                   NO

 10246 PA 4N                 80               6.7                   NO

10247 T.1 CN                280              23.3                   NO

10247 T.2 CN                388              32.3                   NO

10247 T.3 CN                400              33.3                   NO

10247 T.4 CN                328              27.3                   NO

10247 PA CN                 244              20.3                   NO

11731 T.1 AE                 87               7.3                   NO

11731 T.1 AG                141              11.8                   NO

11731 T.1 NG                258              21.5                   NO

11731 T.1 VG                127              10.6                   NO

11731 T.2 AE                 99               8.3                   NO

11731 T.2 AG                183              15.3                   NO

11731 T.2 NG                561              46.8                   NO

11731 T.2 VG                138              11.5                   NO

11731 T.3 AE                374              31.2                   NO

11731 T.3 AG                257              21.4                   NO

11731 T.3 NG                656              54.7                   NO

11731 T.3 VG                269              22.4                   NO

11731 T.4 AE                150              12.5                   NO

11731 T.4 BG                187              15.6                   NO

11731 T.4 NG                752              62.7                   NO


   Artículo              Unidades          Docenas             En producción

11731 T.4 VG                222              18.5                   NO

11731 T.5 AE                186              15.5                   NO

11731 T.5 BG                695              57.9                   NO

11731 T.5 NG               1110              92.5                   NO

11731 T.5 VG                369              30.8                   NO

11736 T.1 MB                127              10.6                   NO

11736 T.1 MG                123              10.3                   NO

11736 T.1 MN                121              10.1                   NO

11736 T.2 MA                123              10.3                   NO

11736 T.2 MB                127              10.6                   NO

11736 T.2 MG                134              11.2                   NO

11736 T.2 MN                137              11.4                   NO

11736 T.3 MA                246              20.5                   NO

11736 T.3 MB                245              20.4                   NO

11736 T.3 MG                 31               2.6                   NO

11736 T.3 MN                258              21.5                   NO

11736 T.4 MA                254              21.2                   NO

11736 T.4 MB                250              20.8                   NO

11736 T.4 MG                121              10.1                   NO

11736 T.4 MN                257              21.4                   NO

11736 T.5 MA                123              10.3                   NO

11736 T.5 MB                133              11.1                   NO

11736 T.5 MG                 82               6.8                   NO

11736 T.5 MN                130              10.8                   NO

11737 T.1 AE                 87               7.3                   NO

11737 T.1 MB                 76               6.3                   NO

11737 T.1 MF                 64               5.3                   NO

11737 T.1 MM                 82               6.8                   NO

11737 T.1 MN                366              30.5                   NO

11737 T.1 MV                101               8.4                   NO


   Artículo              Unidades          Docenas             En producción

11737 T.2 AE                133              11.1                   NO

11737 T.2 MA                285              23.8                   NO

11737 T.2 MF                130              10.8                   NO

11737 T.2 MM                154              12.8                   NO

11737 T.2 MN                766              63.8                   NO

11737 T.2 MV                252              21.0                   NO

11737 T.3 AE                309              25.8                   NO

11737 T.3 MA                328              27.3                   NO

11737 T.3 MB                435              36.3                   NO

11737 T.3 MF                310              25.8                   NO

11737 T.3 MM                343              28.6                   NO

11737 T.3 MN               2067              172.3                SI: 1014

11737 T.3 MV                323              26.9                   NO

11737 T.4 AE                194              16.2                   NO

11737 T.4 MA                243              20.3                   NO

11737 T.4 MB                198              16.5                   NO

11737 T.4 MM                351              29.3                   NO

11737 T.4 MN               2294              191.2                  NO

11737 T.4 MV                195              16.3                   NO

11737 T.5 AE                374              31.2                   NO

11737 T.5 MA                369              30.8                   NO

11737 T.5 MB                368              30.7                   NO

11737 T.5 MM                388              32.3                   NO

11737 T.5 MN               2942              245.2                  NO

11737 T.5 MV                370              30.8                   NO

11788 T.1 MB               2427              202.3                  NO

11788 T.1 MN               2437              203.1                  NO

11788 T.1 NA               1212              101.0                  NO

11788 T.1 RN               1212              101.0                  NO

11788 T.2 MN               4369              364.1                  NO


   Artículo              Unidades          Docenas             En producción

11788 T.2 NA               2544              212.0                  NO

11788 T.2 NB               4364              363.7                  NO

11788 T.2 NR               2183              181.9                  NO

11788 T.3 AN               2129              177.4                  NO

11788 T.3 MN               4617              384.8                  NO

11788 T.3 NA                120              10.0                   NO

11788 T.3 NB               5919              493.3                  NO

11788 T.3 RN               2592              216.0                  NO

11788 T.4 MB               5078              423.2                  NO

11788 T.4 MN               4849              404.1                  NO

11788 T.4 NA               4373              364.4                  NO

11788 T.4 NB               2700              225.0                  NO

11788 T.4 NR               2506              208.8                  NO

11788 T.4 RN                908              75.7                   NO

11788 T.5 AN               2062              171.8                  NO

11788 T.5 MB               3257              271.4                  NO

11788 T.5 MN               3463              288.6                  NO

11788 T.5 NA               2722              226.8                  NO

11788 T.5 NB               3529              294.1                  NO

11788 T.5 NR               2124              177.0                  NO

11789 T.1 AR                185              15.4                   NO

11789 T.1 FN                342              28.5                   NO

11789 T.1 NB                171              14.3                   NO

11789 T.2 NB                605              50.4                 SI: 1021

11789 T.3 AR                264              22.0                   NO

11789 T.3 FN                176              14.7                   NO

11789 T.3 NB                258              21.5                   NO

11789 T.4 AR                 70               5.8                   NO

11789 T.5 AR                205              17.1                   NO

11789 T.5 FN                345              28.8                   NO


   Artículo              Unidades          Docenas             En producción

11789 T.5 NB                255              21.3                   NO

11798 T.5 MB                222              18.5                   NO

11798 T.5 MN                204              17.0                   NO

11798 T.5 MR                235              19.6                   NO

11812 T.1 NB                385              32.1                   NO

11812 T.1 NF                366              30.5                   NO

11812 T.1 NR                387              32.3                   NO

11812 T.2 NB               1374              114.5                SI: 1020

11812 T.2 NF               1634              136.2                SI: 1019

11812 T.2 NR                 67               5.6                   NO

11812 T.3 NB               1538              128.2                SI: 1030

11812 T.3 NF               2550              212.5                  NO

11812 T.3 NR               1714              142.8                SI: 1017

11812 T.4 NF               2064              172.0                  NO

11812 T.5 NB                492              41.0                   NO

11812 T.5 NF               2193              182.8                  NO

11812 T.5 NR                498              41.5                   NO

11855 T.1 MF               4411              367.6                SI: 1024

11855 T.1 MN               1617              134.8                  NO

11855 T.1 MR               3261              271.8                  NO

11855 T.2 MF               6737              561.4                SI: 1006

11855 T.2 MN               9113              759.4                  NO

11855 T.2 MR               6542              545.2                  NO

11855 T.3 MF               7971              664.3                SI: 1003

11855 T.3 MN               8480              706.7                SI: 1025

11855 T.3 MR               7370              614.2                SI: 1022

11855 T.4 MF               8451              704.3                  NO

11855 T.4 MN               10080             840.0                SI: 1027

11855 T.4 MR               11791             982.6                  NO

11855 T.5 MF               9314              776.2                SI: 1016


   Artículo              Unidades          Docenas             En producción

11855 T.5 MN               8878              739.8                  NO

11855 T.5 MR               6672              556.0                SI: 1012

11869 T.2 KB               1841              153.4                  NO

11869 T.4 KB               1470              122.5                  NO

11869 T.5 KB               3597              299.8                  NO

11869 T.6 KB               3722              310.2                  NO

11881 T.2 CF               1820              151.7                  NO

11881 T.3 CF               2581              215.1                  NO

11881 T.4 CF               2547              212.3                  NO

11881 T.5 CF               2547              212.3                  NO

 11927 T.4 C$               243              20.3                   NO

11927 T.5 C%                182              15.2                   NO

11940 T.1 NN                130              10.8                   NO

11940 T.2 NN               1758              146.5                  NO

11940 T.3 NN                776              64.7                 SI: 1034

11940 T.4 NN                668              55.7                   NO

11940 T.5 NN               1212              101.0                  NO

11941 T.4 NN                244              20.3                   NO

11941 T.5 NN                208              17.3                   NO

11941 T.6 NN                280              23.3                   NO

11941 T.7 NN                329              27.4                   NO

11943 T.1 CM               3312              276.0                  NO

11943 T.2 CM               4037              336.4                  NO

11943 T.3 CM               5553              462.8                SI: 1010

11943 T.4 CM               4746              395.5                  NO

11943 T.5 CM               5454              454.5                  NO

12050 T.1 BG                256              21.3                   NO

12050 T.1 NG               2061              171.8                SI: 1002

12050 T.1 ZG                207              17.3                   NO

12050 T.2 BG                741              61.8                   NO


   Artículo              Unidades          Docenas             En producción

12050 T.2 FG               2090              174.2                  NO

12050 T.2 GG                443              36.9                 SI: 1007

12050 T.2 NG               7582              631.8                SI: 1005

12050 T.2 ZG                737              61.4                   NO

12050 T.3 AG                842              70.2                   NO

12050 T.3 BG               1231              102.6                  NO

12050 T.3 FG               1076              89.7                   NO

12050 T.3 GG               1231              102.6                  NO

12050 T.3 NG               7450              620.8                  NO

12050 T.3 ZG               1213              101.1                  NO

12050 T.4 AG                119               9.9                 SI: 1011

12050 T.4 BG               1117              93.1                   NO

12050 T.4 CG                 1                0.1                   NO

12050 T.4 FG               1302              108.5                  NO

12050 T.4 GG               1730              144.2                  NO

12050 T.4 NG               3673              306.1                SI: 1013

12050 T.4 RG               1699              141.6                  NO

12050 T.4 ZG                744              62.0                   NO

12050 T.5 AG                465              38.8                   NO

12050 T.5 BG               1281              106.8                  NO

12050 T.5 CN                 1                0.1                   NO

12050 T.5 FG               2210              184.2                  NO

12050 T.5 GG               1703              141.9                  NO

12050 T.5 NG               5634              469.5                SI: 1018

12050 T.5 RG               1709              142.4                  NO

12050 T.5 ZG               1240              103.3                  NO

12050 T.6 BG                490              40.8                   NO

12050 T.6 FG               1538              128.2                  NO

12050 T.6 GG                459              38.3                 SI: 1009

12050 T.6 NG                975              81.3                   NO


   Artículo              Unidades          Docenas             En producción

12050 T.6 RG                694              57.8                   NO

12050 T.6 ZG                285              23.8                   NO

12056 T.1 CG               2118              176.5                  NO

12056 T.1 CN               1543              128.6                  NO

12056 T.2 CG               5340              445.0                  NO

12056 T.2 CN               2785              232.1                  NO

12056 T.3 CG               1793              149.4                SI: 1023

12056 T.3 CN               2143              178.6                  NO

12056 T.4 CG               3264              272.0                  NO

12056 T.4 CN               2480              206.7                  NO

12056 T.5 CG               2116              176.3                  NO

12056 T.5 CN               1591              132.6                  NO

12056 T.6 CG               3452              287.7                  NO

12056 T.6 CN               1793              149.4                SI: 1008

12062 T.1 KB               7281              606.8                  NO

12062 T.2 KB               13363            1113.6                SI: 1004

12062 T.3 KB               15737            1311.4                  NO

12062 T.4 KB               17384            1448.7                  NO

12062 T.5 KB               10639             886.6                SI: 1029

12093 T.2 CG               3339              278.3                  NO

12093 T.3 CG               2922              243.5                  NO

12093 T.4 CG               4740              395.0                  NO

12093 T.5 CG               3308              275.7                  NO

12093 T.6 CG               4389              365.8                  NO



